i,k,f1
106,5,0.893
106,10,0.877
106,25,0.899
106,50,0.906
106,-1,0.946
107,1,0.418
107,5,0.84
107,10,0.872
107,25,0.892
107,50,0.899
107,-1,0.946
108,1,0.816
108,5,0.873
108,10,0.871
108,25,0.902
108,50,0.911
108,-1,0.943
109,1,0.755
109,5,0.826
109,10,0.855
109,25,0.872
109,50,0.879
109,-1,0.943
110,1,0.741
110,5,0.864
110,10,0.858
110,25,0.873
110,50,0.867
110,-1,0.932
111,1,0.635
111,5,0.856
111,10,0.854
111,25,0.901
111,50,0.908
111,-1,0.949
112,1,0.432
112,5,0.852
112,10,0.88
112,25,0.905
112,50,0.889
112,-1,0.947
113,1,0.48
113,5,0.857
113,10,0.859
113,25,0.9
113,50,0.918
113,-1,0.942
114,1,0.294
114,5,0.839
114,10,0.848
114,25,0.893
114,50,0.908
114,-1,0.937
115,1,0.203
115,5,0.863
115,10,0.862
115,25,0.887
115,50,0.893
115,-1,0.93
116,1,0.783
116,5,0.817
116,10,0.842
116,25,0.883
116,50,0.913
116,-1,0.94
117,1,0.733
117,5,0.795
117,10,0.887
117,25,0.905
117,50,0.923
117,-1,0.943
118,1,0.648
118,5,0.834
118,10,0.856
118,25,0.86
118,50,0.902
118,-1,0.961
119,1,0.583
119,5,0.766
119,10,0.841
119,25,0.878
119,50,0.897
119,-1,0.929
120,1,0.741
120,5,0.891
120,10,0.898
120,25,0.911
120,50,0.886
120,-1,0.946
121,1,0.58
121,5,0.823
121,10,0.857
121,25,0.876
121,50,0.896
121,-1,0.949
122,1,0.671
122,5,0.868
122,10,0.843
122,25,0.864
122,50,0.927
122,-1,0.953
123,1,0.656
123,5,0.853
123,10,0.867
123,25,0.889
123,50,0.877
123,-1,0.935
124,1,0.719
124,5,0.881
124,10,0.893
124,25,0.878
124,50,0.896
124,-1,0.942
125,1,0.583
125,5,0.851
125,10,0.875
125,25,0.887
125,50,0.902
125,-1,0.943
126,1,0.672
126,5,0.882
126,10,0.87
126,25,0.902
126,50,0.915
126,-1,0.94
127,1,0.725
127,5,0.801
127,10,0.883
127,25,0.89
127,50,0.91
127,-1,0.932
128,1,0.689
128,5,0.844
128,10,0.866
128,25,0.879
128,50,0.907
128,-1,0.931
129,1,0.726
129,5,0.846
129,10,0.825
129,25,0.887
129,50,0.886
129,-1,0.927
130,1,0.844
130,5,0.83
130,10,0.843
130,25,0.911
130,50,0.917
130,-1,0.933
131,1,0.66
131,5,0.805
131,10,0.813
131,25,0.852
131,50,0.891
131,-1,0.94
132,1,0.187
132,5,0.835
132,10,0.868
132,25,0.88
132,50,0.911
132,-1,0.942
133,1,0.488
133,5,0.848
133,10,0.859
133,25,0.905
133,50,0.92
133,-1,0.941
134,1,0.8
134,5,0.808
134,10,0.868
134,25,0.904
134,50,0.919
134,-1,0.935
135,1,0.315
135,5,0.856
135,10,0.857
135,25,0.9
135,50,0.905
135,-1,0.947
136,1,0.783
136,5,0.82
136,10,0.879
136,25,0.904
136,50,0.921
136,-1,0.943
137,1,0.236
137,5,0.866
137,10,0.893
137,25,0.905
137,50,0.892
137,-1,0.931
138,1,0.743
138,5,0.835
138,10,0.894
138,25,0.919
138,50,0.912
138,-1,0.928
139,1,0.564
139,5,0.874
139,10,0.92
139,25,0.939
139,50,0.91
139,-1,0.941
140,1,0.704
140,5,0.88
140,10,0.875
140,25,0.888
140,50,0.914
140,-1,0.947
141,1,0.595
141,5,0.845
141,10,0.867
141,25,0.852
141,50,0.893
141,-1,0.944
142,1,0.552
142,5,0.794
142,10,0.825
142,25,0.848
142,50,0.907
142,-1,0.951
143,1,0.769
143,5,0.834
143,10,0.87
143,25,0.89
143,50,0.9
143,-1,0.951
144,1,0.7
144,5,0.848
144,10,0.831
144,25,0.805
144,50,0.863
144,-1,0.942
145,1,0.689
145,5,0.828
145,10,0.887
145,25,0.877
145,50,0.906
145,-1,0.931
146,1,0.587
146,5,0.88
146,10,0.865
146,25,0.899
146,50,0.912
146,-1,0.953
147,1,0.598
147,5,0.86
147,10,0.878
147,25,0.891
147,50,0.908
147,-1,0.928
148,1,0.301
148,5,0.733
148,10,0.856
148,25,0.893
148,50,0.917
148,-1,0.927
149,1,0.641
149,5,0.848
149,10,0.903
149,25,0.92
149,50,0.916
149,-1,0.949
150,1,0.688
150,5,0.824
150,10,0.911
150,25,0.916
150,50,0.913
150,-1,0.931
151,1,0.811
151,5,0.865
151,10,0.856
151,25,0.869
151,50,0.899
151,-1,0.944
152,1,0.754
152,5,0.865
152,10,0.882
152,25,0.898
152,50,0.925
152,-1,0.946
153,1,0.704
153,5,0.892
153,10,0.896
153,25,0.876
153,50,0.909
153,-1,0.937
154,1,0.799
154,5,0.857
154,10,0.852
154,25,0.857
154,50,0.877
154,-1,0.945
155,1,0.519
155,5,0.785
155,10,0.825
155,25,0.863
155,50,0.888
155,-1,0.928
156,1,0.642
156,5,0.868
156,10,0.9
156,25,0.908
156,50,0.917
156,-1,0.935
157,1,0.877
157,5,0.819
157,10,0.842
157,25,0.822
157,50,0.883
157,-1,0.937
158,1,0.53
158,5,0.77
158,10,0.871
158,25,0.852
158,50,0.882
158,-1,0.931
159,1,0.773
159,5,0.856
159,10,0.87
159,25,0.877
159,50,0.896
159,-1,0.931
160,1,0.632
160,5,0.867
160,10,0.897
160,25,0.895
160,50,0.903
160,-1,0.949
161,1,0.672
161,5,0.853
161,10,0.869
161,25,0.88
161,50,0.906
161,-1,0.951
162,1,0.28
162,5,0.847
162,10,0.886
162,25,0.893
162,50,0.909
162,-1,0.923
163,1,0.664
163,5,0.877
163,10,0.877
163,25,0.887
163,50,0.911
163,-1,0.939
164,1,0.497
164,5,0.853
164,10,0.863
164,25,0.891
164,50,0.893
164,-1,0.929
165,1,0.565
165,5,0.878
165,10,0.88
165,25,0.906
165,50,0.899
165,-1,0.946
166,1,0.861
166,5,0.832
166,10,0.835
166,25,0.863
166,50,0.894
166,-1,0.947
167,1,0.559
167,5,0.745
167,10,0.84
167,25,0.884
167,50,0.919
167,-1,0.944
168,1,0.527
168,5,0.869
168,10,0.846
168,25,0.879
168,50,0.917
168,-1,0.936
169,1,0.528
169,5,0.739
169,10,0.818
169,25,0.868
169,50,0.91
169,-1,0.931
170,1,0.789
170,5,0.838
170,10,0.842
170,25,0.872
170,50,0.905
170,-1,0.942
171,1,0.719
171,5,0.813
171,10,0.78
171,25,0.888
171,50,0.91
171,-1,0.941
172,1,0.747
172,5,0.849
172,10,0.839
172,25,0.886
172,50,0.905
172,-1,0.945
173,1,0.772
173,5,0.886
173,10,0.899
173,25,0.887
173,50,0.91
173,-1,0.941
174,1,0.444
174,5,0.83
174,10,0.879
174,25,0.912
174,50,0.912
174,-1,0.926
175,1,0.712
175,5,0.787
175,10,0.862
175,25,0.879
175,50,0.89
175,-1,0.93
176,1,0.82
176,5,0.824
176,10,0.835
176,25,0.874
176,50,0.905
176,-1,0.945
177,1,0.614
177,5,0.891
177,10,0.86
177,25,0.929
177,50,0.919
177,-1,0.946
178,1,0.753
178,5,0.845
178,10,0.891
178,25,0.904
178,50,0.915
178,-1,0.94
179,1,0.752
179,5,0.87
179,10,0.84
179,25,0.86
